indicator_id,country ,country_iso3,exists ,year ,policy/program,subnational,remarks,source,source_url
CAT-00005,Brunei Darussalam,BRN,Yes,2013,Girls in ICT Day,,"In conjuction with the International Girls in ICT day, Brunei's ICT authority organizes discussions on digital skills, alignment of ICT supply with industry demand, and opportunities for girls and young women to enhance their ICT skills. ",,https://www.aiti.gov.bn/news/2023/girls-in-ict-day-highlights-importance-of-digital-skills-for-life/ 
CAT-00005,Brunei Darussalam,BRN,Yes,2019,Digital for All,,"In cooperation with their Ministry of Culture, Youth and Sports, AITI provides capacity buildings centered on digital upskilling. Some of these programs are Coding.bn, TechXPLORE, DPO Competency, Digital Upskilling Training Programe, and Tech Kids. More information on the programs can be read in AITI's website. ",,"https://www.aiti.gov.bn/news/2023/instilling-ict-skills-in-communities-with-digital-for-all-programme/
https://www.aiti.gov.bn/development/?pageNumber=1&pageSize=6"
CAT-00005,Cambodia,KHM,Yes,2014,Technovation,No Data,"This program is organized by USAID in partnership with Cambodia's education minsitry, NGO's and the private sector. It is a global technology entrepreneurship program to encourage girls between 10 and 18 years old to develop their ICT skills so they can engage and solve community problems using tech as well as emerge as tech entrepreneurs and leaders. This is to address the issue that the founder culture of startups are still dominated by men.",Deutsche Welle,https://www.dw.com/en/cambodian-girls-defy-gender-barriers-to-excel-in-technology/a-44724399
CAT-00005,Cambodia,KHM,Yes,2024,Girls in ICT Day,No Data,"Established by the International Telecommunication Union, the event aims to empower women and girls to develope their skills and pursue a career in the ICT industry",Liechtenstein Development Service,https://www.led.li/EN/Latest-news/News/Women-strengthen-Cambodias-ICT-industry-Girls-in-ICT-Day/tblid/388/id020/2518/Default.asp
CAT-00005,Cambodia,KHM,Yes,2023,Scholarships for Young Women to Pursue a ICT training,No Data,The scholarship is funded by KAPE and the Asia Foundation for female students from disadvantaged families to pursue a 4-year ICT program in the Royal University of Phnom Penh in 2023-2026,NGO Education Partnership Cambodia,https://nepcambodia.org/2023/02/06/scholarships-for-young-women-to-pursue-a-ict-training/
CAT-00005,Laos,#N/A,No Data,,,No Data,"While there are initiatives that target skill development in ICT, there are no specific ones that are catered towards Women. In 2023, under the International Labour Orgnization (ILO)-Chinia Partnership Programme, a workshop was conducted for the development of skills for the ICT sector. In 2020, there was also the first ever ICT Competency Standards for Teachers (ICT-SCT) in Lao PDR. ","ILO, UNESCO","https://www.ilo.org/resource/news/strengthen-capacity-skills-providers-lao-pdr-develop-skills-training

https://www.unesco.org/en/articles/ict-competency-standards-teachers-lao-pdr"
CAT-00005,Malaysia,MYS,Yes,2015,eUsahawan programme,,"eUsahawan is an initiative by the Malaysia Digital Economy Corporation (MDEC) to help micro-entrepreneurs, particularly women, develop digital skills and leverage the power of the internet to grow their businesses. The program offers training in digital marketing, e-commerce platforms, and the use of online tools for business management.",Malaysia Digital Economy Cooperation,https://mdec.my/eusahawan
CAT-00005,Malaysia,MYS,Yes,2022,Young Futuremakers Malaysia,,"The Young Futuremakers Malaysia project, under the Futuremakers by Standard Chartered initiative, supports youth employment through a gender-responsive and inclusive approach. It aims to enhance employment-related skills among young women and men, particularly in tech-oriented STEM fields, and to improve the transition of underprivileged female TVET graduates into the labor market by increasing awareness of upskilling opportunities and strengthening post-training employment support.",ILO,https://webapps.ilo.org/DevelopmentCooperationDashboard/#btk3fvr
CAT-00005,Singapore,SGP,Yes,2021,Singapore Women In Tech  (SGWiT),,"To promote a diverse and inclusive digital workforce, Singapore's Infocomm Media Development Authority (IMDA) launched the SG Women in Tech (SGWiT) initiative to encourage girls and women to pursue careers in the ICT sector. In partnership with SGTech, SGWiT introduced the Corporate Pledge, where over 50 companies committed to supporting women in tech by offering mentorships, support groups, webinars, and coding workshops to inspire and nurture female talent in the industry.",,"https://www.imda.gov.sg/resources/blog/blog-articles/2021/10/breaking-down-barriers-women-supporting-women-in-tech#:~:text=To%20build%20an%20inclusive%20and%20diverse%20digital,careers%20in%20the%20dynamic%20infocomm%20tech%20sector.&text=Currently%2C%20women%20make%20up%2041%20percent%20of,in%20Singapore%E2%80%94significantly%20higher%20than%20the%20global%20average. "
CAT-00005,Singapore,SGP,Yes,2016,Skills Framework (SFw),,"SkillsFuture Singapore supports women in ICT by offering structured, subsidized, and flexible training pathways aligned with industry needs. Through the Skills Framework for ICT, learners can access career maps, assess skill gaps, and undergo targeted upskilling to prepare for roles in areas like data analytics, cybersecurity, and software development. The initiative plays a vital role in enabling women to enter, re-enter, or progress within the digital workforce.",,https://www.skillsfuture.gov.sg/skills-framework/ict 
CAT-00005,Thailand,THA,Yes,2017,Girls in ICT Day,,"Organized by the International Telecommunications Union (ITU) in line with the International Girls in ICT Day, Thailand has been annualy celebrating their Girls in ICT Day since 2017.  Their topics have mostly focused on cybersecurity, smart farming, and AI.",,"https://www.fao.org/e-agriculture/events/girls-ict-day-2017-thailand-digital-skills-girls-target-employment

https://thailand.un.org/en/142223-ict-education-girls-provides-bandwidth-more-robust-digital-society#:~:text=That%20achievement%20does%20not%2C%20however,and%20women%2C%20benefits%20us%20all."
