indicator_id,country ,countr_iso3,exists ,year ,policy/program,subnational,remarks,source,source_url
CAT-00008,Brunei Darussalam,BRN,Yes,IDEAS Project,2024,,"In 2024, the Brunei Economic Development Board (BEDB), through Darussalam Enterprise (DARe) — Brunei Darussalam’s representative to the ASEAN Coordinating Committee on Micro, Small and Medium Enterprises (ACCMSME) — launched the IDEAS Project (Enhancing Digital Economy Participation for ASEAN Women MSMEs), an ongoing initiative implemented by ACCMSME under the ASEAN Strategic Action Plan for SME Development 2016–2025 (SAP SMED 2025), in partnership with the Asia Pacific Women’s Information Network Centre (APWINC) of Sookmyung Women’s University, South Korea.

The project seeks to empower women entrepreneurs to engage more actively in the ASEAN economy by enhancing their skills in using ICTs and online business platforms through targeted training, improving access to information, and strengthening digital connectivity both among ASEAN Member States (AMS) and between the AMS and the Republic of Korea.",,https://ideasproject.co.kr/kor/main/main.html?ckattempt=1 
CAT-00008,Cambodia,KHM,Yes,2016,Women ICT Frontier Initiative,No Data,"This is organized by the Asian and Pacific Training Centre for ICT for Development (APCICT), which is a capacity building program to promote women entrepreneurs and ICT. ",UN APICT,"https://www.unapcict.org/events/national-launch-women-ict-frontier-initiative-wifi-cambodia#:~:text=Following%20the%20ToTs%2C%20a%20community,out%20strategies%20in%20their%20countries.&text=Launched%20in%20June%202016%2C%20the,.unapcict.org/wifi."
CAT-00008,Cambodia,KHM,Yes,2024,Capacity Building Programme on Digital Transformation for Women Entrepreneurs in Cambodia,No Data,"This programme was organized by the Ministry of Commerce of Cambodia (MoC) and Asian and Pacific Training centre for ICT and Development (APCICT), in collaboration with the Cambodia ASEAN Women Entrepreneurs Network. It aimed to provide women with the mindset, knowledge, and skills needde to embrace digital transformation and suceed in the digital economy. ",,https://kiripost.com/stories/initiative-to-equip-women-entrepreneurs-with-digital-skills
CAT-00008,Lao PDR,LAO,Yes,2019,National Training on Women ICT Frontier Initiative in Lao People's Democratic Republic,No Data,The training was organized by the Ministry of Posts and Telecommunications and the Asian and Pacific Training Centre for Information and Communication Technology for Development (APCICT) / Economic and Social Commission for Asia and the Pacific (ESCAP) to support the skills of policy makers with gender-related knowledge to create an environment that enables ICT-empowered women entrepreneurs. ,APICT,https://www.unapcict.org/events/national-training-women-ict-frontier-initiative-lao-peoples-democratic-republic
CAT-00008,Lao PDR,LAO,Yes,2024,Women ICT Frontier Initiative DX (WIFI) DX: Empowering Women Entrepreneurs Through Digital Transformation,No Data,This is a program by the APCICT in collaboration with Lao PDR's Mistry of Technology and Thailand's Communications and the Digital Economy Promotion Agency. The workshop will train a network of trainers and resource persons to assisst in the implementation and development of modules for WIFI DX.,ESCAP,https://www.unescap.org/events/2024/women-ict-frontier-initiative-wifi-dx-empowering-women-entrepreneurs-through-digital
CAT-00008,Malaysia,MYS,Yes,2010,1nita Project,,"The 1Nita Project, initiated in 2010 by Malaysia's Ministry of Science, Technology and Innovation (MOSTI), was designed to empower rural women entrepreneurs by enhancing their digital skills and facilitating their participation in the digital economy. Organized by .my Domain Registry and supported by partners such as the E-Community Research Centre at Universiti Kebangsaan Malaysia (UKM), the National Council of Women's Organizations (NCWO), and the Multimedia Development Corporation (MDeC), the project provided training and resources to help women-led small and medium enterprises (SMEs) establish an online presence.

An impact study conducted in 2011 indicated that the project had a positive effect on participants' ICT literacy and business outcomes. Approximately 60% of participants demonstrated satisfactory computer proficiency, and some reported increases in sales ranging from 30% to 60% after utilizing online platforms for marketing and sales. However, the study also highlighted challenges such as limited digital literacy among older participants and difficulties in maintaining online business platforms. These findings underscored the importance of ongoing support and training to ensure the sustainability and effectiveness of such initiatives.

As of 2025, there is limited publicly available information confirming the current operational status of the 1Nita Project. The official website and social media channels associated with the project have not been updated in recent years, suggesting that the initiative may no longer be active. ",,https://www.malaysia.gov.my/portal/content/30057
CAT-00008,Malaysia,MYS,Yes,2024,Strivers' Hub,,"The Strivers’ Hub is a digital platform launched in 2024 by the Mastercard Center for Inclusive Growth and The Asia Foundation, in collaboration with Malaysia’s Ministry of Women, Family and Community Development. The platform is designed to support women entrepreneurs, particularly those running micro, small, and medium-sized enterprises (MSMEs). It offers resources such as a personalized self-assessment tool, a comprehensive library of business guides and tools, mentorship programs, and information on financing options. The platform also highlights networking opportunities through events and workshops to foster community among women entrepreneurs.

The Strivers' Hub is part of the broader Mastercard Strive Malaysia initiative, which aims to empower 100,000 women-led MSMEs by 2025. The platform seeks to address significant barriers women entrepreneurs face, such as limited access to digital tools and capital. A needs assessment revealed that only 60% of women-led small businesses use digital tools and 80% struggle with access to financing. By providing accessible resources and expert support, the Strivers’ Hub aims to help women entrepreneurs grow their businesses, enhance their digital skills, and contribute to Malaysia’s economic development.",,https://strivershub.com/en   
CAT-00008,Singapore,SGP,Yes,2017,Startup SG,,"Startup SG, launched in 2017 by Enterprise Singapore, provides funding, mentorship, and support to startups, including those led by women. While not exclusive to women, the initiative has contributed to a broader entrepreneurial ecosystem in which the number of women-owned companies in Singapore grew from 16,300 in 2010 to 36,000 in 2022, with these companies generating S$85.3 billion in revenue and employing over 200,000 people.",,"https://www.startupsg.gov.sg/ 
https://www.singstat.gov.sg/-/media/files/publications/industry/ssn224-pg2-4.ashx "
CAT-00008,Singapore,SGP,Yes,2018,Open Innovation Platform,,"The Singapore Open Innovation Platform (OIP), established by the Infocomm Media Development Authority (IMDA) in 2018, is a government-led initiative designed to facilitate collaboration between businesses and tech innovators to address real-world challenges. While the OIP itself does not specifically target women ICT entrepreneurs, it offers opportunities that can benefit all participants, including women-led startups. Women entrepreneurs can leverage the platform's offerings alongside other initiatives to enhance their business ventures.",,https://www.openinnovation.sg/ 
CAT-00008,Thailand,THA,Yes,2023,Womenpreneur: Tech and Sustainability Programme,No Data,"This is a three-month program including workshops for using technology in business development and networking opportunities for women entrepenuers. The first program launched in 2023 had over 150 women entrepreneurs participating in the program. It was initiated by Finlab Thailand in collaboration with Thai Business Incubation and Science Park Association (Thai-BISPA), O2O Forum, and Reporter Journey. The next implementation of this program was on 2025.",,"https://thefinlab.com/press-releases/uob-thailand-introduces-the-womenpreneur-tech-and-sustainability-programme/

https://www.bangkokpost.com/thailand/pr/2995812/uob-launches-b2025-womenpreneur-sustainability-programme"
