country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Brunei Darussalam,2018,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,61.319,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2015,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,70.426,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2014,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,73.743,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2013,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,64.935,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2012,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,71.756,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2011,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,67.29,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2010,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,60.544,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2009,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,60,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2008,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,54.878,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2007,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,65.873,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2006,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,53.371,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2005,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,53,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2004,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,57.746,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2003,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,62.712,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2001,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,60.227,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2000,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,56.41,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,1999,NUM-00013,Share of Female Graduates by Field_Arts and Humanities,30,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2018,NUM-00013,Share of Female Graduates by Field_Education,72.973,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2017,NUM-00013,Share of Female Graduates by Field_Education,70.222,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2016,NUM-00013,Share of Female Graduates by Field_Education,71.769,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2015,NUM-00013,Share of Female Graduates by Field_Education,76.471,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2014,NUM-00013,Share of Female Graduates by Field_Education,70.213,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2013,NUM-00013,Share of Female Graduates by Field_Education,66.57,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2012,NUM-00013,Share of Female Graduates by Field_Education,68.783,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
Brunei Darussalam,2011,NUM-00013,Share of Female Graduates by Field_Education,67.224,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs
