country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Malaysia,2013,NUM-00001,Gender Gap in Internet Access,3.27,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2014,NUM-00001,Gender Gap in Internet Access,3.61,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2015,NUM-00001,Gender Gap in Internet Access,3.95,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2016,NUM-00001,Gender Gap in Internet Access,3.34,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2017,NUM-00001,Gender Gap in Internet Access,3.68,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2018,NUM-00001,Gender Gap in Internet Access,4.79,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2019,NUM-00001,Gender Gap in Internet Access,3.48,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2020,NUM-00001,Gender Gap in Internet Access,3.55,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2021,NUM-00001,Gender Gap in Internet Access,0.83,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Malaysia,2022,NUM-00001,Gender Gap in Internet Access,2.98,No,,Department of Statistics of Malaysia,https://www.dosm.gov.my/portal-main/release-content/statistics-on-women-empowerment-in-selected-domains-malaysia-2024
Cambodia,2022,NUM-00001,Gender Gap in Internet Access,12.5,Yes,,National Institute of Statistics Cambodia,https://www.nis.gov.kh/nis/CDHS/2021-22/Cambodia_DHS2021-2022_Final_Report_EN.pdf
