country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Singapore,2016,NUM-00014,Share of Female Graduates in ICT Programs,33.208,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Singapore,2017,NUM-00014,Share of Female Graduates in ICT Programs,32.222,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2004,NUM-00014,Share of Female Graduates in ICT Programs,50.506,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2006,NUM-00014,Share of Female Graduates in ICT Programs,54.38,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2007,NUM-00014,Share of Female Graduates in ICT Programs,48.758,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2008,NUM-00014,Share of Female Graduates in ICT Programs,50.539,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2009,NUM-00014,Share of Female Graduates in ICT Programs,48.565,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2010,NUM-00014,Share of Female Graduates in ICT Programs,46.651,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2011,NUM-00014,Share of Female Graduates in ICT Programs,47.014,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2012,NUM-00014,Share of Female Graduates in ICT Programs,52.597,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2015,NUM-00014,Share of Female Graduates in ICT Programs,44.551,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Malaysia,2018,NUM-00014,Share of Female Graduates in ICT Programs,45.998,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2018,NUM-00014,Share of Female Graduates in ICT Programs,41.86,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2016,NUM-00014,Share of Female Graduates in ICT Programs,45.792,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2015,NUM-00014,Share of Female Graduates in ICT Programs,44.018,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2012,NUM-00014,Share of Female Graduates in ICT Programs,54.255,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2011,NUM-00014,Share of Female Graduates in ICT Programs,87.5,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2010,NUM-00014,Share of Female Graduates in ICT Programs,53.623,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2009,NUM-00014,Share of Female Graduates in ICT Programs,58.065,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2008,NUM-00014,Share of Female Graduates in ICT Programs,62.651,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2007,NUM-00014,Share of Female Graduates in ICT Programs,46.032,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2006,NUM-00014,Share of Female Graduates in ICT Programs,71.739,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2005,NUM-00014,Share of Female Graduates in ICT Programs,51.786,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2004,NUM-00014,Share of Female Graduates in ICT Programs,44.444,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2003,NUM-00014,Share of Female Graduates in ICT Programs,72.727,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2001,NUM-00014,Share of Female Graduates in ICT Programs,65.625,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,2000,NUM-00014,Share of Female Graduates in ICT Programs,71.053,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Brunei Darussalam,1999,NUM-00014,Share of Female Graduates in ICT Programs,62.963,No,,UNESCO Institute for Statistics ,https://genderdata.worldbank.org/en/indicator/uis-fgp-5t8-f600
Vietnam,2016,NUM-00014,Share of Female Graduates in ICT Programs,26.4,,,,
Philippines,2017,NUM-00014,Share of Female Graduates in ICT Programs,48.1,,,,
Myanmar,2018,NUM-00014,Share of Female Graduates in ICT Programs,67,,,,
Indonesia,2018,NUM-00014,Share of Female Graduates in ICT Programs,34.7,,,,
