rowid,country,year,indicator_id,indicator_name_main,indicator_name,sub_indicator_name,indicator_value,subnational,remarks,source,source_url
1,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Using Basic Arithmetic Formula In A Spreadsheet,Proportion of Youth and Adults with ICT Skills,Using Basic Arithmetic Formula In A Spreadsheet,31.1,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
2,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",Proportion of Youth and Adults with ICT Skills,"Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
3,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Reading Or Downloading Newspapers, Magazines Or Electronic Books In A Digital Format",Proportion of Youth and Adults with ICT Skills,"Reading Or Downloading Newspapers, Magazines Or Electronic Books In A Digital Format",45.6,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
4,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Sending Messages (E.g., E-Mail, Messaging Service, SMS) With Attached Files (E.g., Document, Picture, Video)",Proportion of Youth and Adults with ICT Skills,"Sending Messages (E.g., E-Mail, Messaging Service, SMS) With Attached Files (E.g., Document, Picture, Video)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
5,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Creating Electronic Presentations With Presentation Software (Including Text, Images, Sound, Video Or Charts)",Proportion of Youth and Adults with ICT Skills,"Creating Electronic Presentations With Presentation Software (Including Text, Images, Sound, Video Or Charts)",27.3,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
6,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Doing An Online Course (In Any Subject),Proportion of Youth and Adults with ICT Skills,Doing An Online Course (In Any Subject),3.3,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
7,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Getting Information About Goods Or Services Online,Proportion of Youth and Adults with ICT Skills,Getting Information About Goods Or Services Online,41.6,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
8,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Purchasing Or Ordering Goods Or Services Using The Internet,Proportion of Youth and Adults with ICT Skills,Purchasing Or Ordering Goods Or Services Using The Internet,32.1,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
9,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Seeking Health Information (On Injury, Disease, Nutrition, Etc.)",Proportion of Youth and Adults with ICT Skills,"Seeking Health Information (On Injury, Disease, Nutrition, Etc.)",21.9,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
10,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",Proportion of Youth and Adults with ICT Skills,"Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",28,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
11,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",Proportion of Youth and Adults with ICT Skills,"Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",44.5,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
12,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Using Software Run Over The Internet For Editing Text Documents, Spreadsheets Or Presentations",Proportion of Youth and Adults with ICT Skills,"Using Software Run Over The Internet For Editing Text Documents, Spreadsheets Or Presentations",10.8,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
13,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Programming Or Coding In Digital Environments (E.g. Computer Software, App Development)",Proportion of Youth and Adults with ICT Skills,"Programming Or Coding In Digital Environments (E.g. Computer Software, App Development)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
14,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Changing Privacy Settings On Your Device, Account Or App To Limit The Sharing Of PersoN/Al Data And Information (E.g. N/Ame, Contact Information, Photos)",Proportion of Youth and Adults with ICT Skills,"Changing Privacy Settings On Your Device, Account Or App To Limit The Sharing Of PersoN/Al Data And Information (E.g. N/Ame, Contact Information, Photos)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
15,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Setting Up Effective Security Measures (E.g. Strong Passwords, Log-In Attempt Notification) To Protect Devices And Online Accounts",Proportion of Youth and Adults with ICT Skills,"Setting Up Effective Security Measures (E.g. Strong Passwords, Log-In Attempt Notification) To Protect Devices And Online Accounts",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
16,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Participating In Social Networks,Proportion of Youth and Adults with ICT Skills,Participating In Social Networks,61.1,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
17,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Finding, Downloading, Installing And Configuring Software And Apps",Proportion of Youth and Adults with ICT Skills,"Finding, Downloading, Installing And Configuring Software And Apps",35.7,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
18,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Transferring Files Or Applications Between Devices (Including Via Cloud-Storage),Proportion of Youth and Adults with ICT Skills,Transferring Files Or Applications Between Devices (Including Via Cloud-Storage),37.7,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
19,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Uploading Self/User-Created Content To A Website To Be Shared,Proportion of Youth and Adults with ICT Skills,Uploading Self/User-Created Content To A Website To Be Shared,16.1,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
20,Singapore,2016,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Making Calls (Telephoning Over The Internet/Voip, Using Skype, Whatsapp, Viber, Italk, Etc.; Includes Video Calls Via Webcam)",Proportion of Youth and Adults with ICT Skills,"Making Calls (Telephoning Over The Internet/Voip, Using Skype, Whatsapp, Viber, Italk, Etc.; Includes Video Calls Via Webcam)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
21,Singapore,2016,NUM-00011,Proportion of Youth and Adults with ICT Skills_Verifying The Reliability Of Information Found Online,Proportion of Youth and Adults with ICT Skills,Verifying The Reliability Of Information Found Online,,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
22,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Using Basic Arithmetic Formula In A Spreadsheet,Proportion of Youth and Adults with ICT Skills,Using Basic Arithmetic Formula In A Spreadsheet,39.1,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
23,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",Proportion of Youth and Adults with ICT Skills,"Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
24,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Reading Or Downloading Newspapers, Magazines Or Electronic Books In A Digital Format",Proportion of Youth and Adults with ICT Skills,"Reading Or Downloading Newspapers, Magazines Or Electronic Books In A Digital Format",52.2,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
25,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Sending Messages (E.g., E-Mail, Messaging Service, SMS) With Attached Files (E.g., Document, Picture, Video)",Proportion of Youth and Adults with ICT Skills,"Sending Messages (E.g., E-Mail, Messaging Service, SMS) With Attached Files (E.g., Document, Picture, Video)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
26,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Creating Electronic Presentations With Presentation Software (Including Text, Images, Sound, Video Or Charts)",Proportion of Youth and Adults with ICT Skills,"Creating Electronic Presentations With Presentation Software (Including Text, Images, Sound, Video Or Charts)",36.9,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
27,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Doing An Online Course (In Any Subject),Proportion of Youth and Adults with ICT Skills,Doing An Online Course (In Any Subject),5.7,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
28,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Getting Information About Goods Or Services Online,Proportion of Youth and Adults with ICT Skills,Getting Information About Goods Or Services Online,52.2,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
29,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Purchasing Or Ordering Goods Or Services Using The Internet,Proportion of Youth and Adults with ICT Skills,Purchasing Or Ordering Goods Or Services Using The Internet,50.2,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
30,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Seeking Health Information (On Injury, Disease, Nutrition, Etc.)",Proportion of Youth and Adults with ICT Skills,"Seeking Health Information (On Injury, Disease, Nutrition, Etc.)",29.7,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
31,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",Proportion of Youth and Adults with ICT Skills,"Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",38.5,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
32,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",Proportion of Youth and Adults with ICT Skills,"Connecting And Installing New Devices (E.g. A Modem, Camera, Printer) Through Wired Or Wireless Technologies",54.2,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
33,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Using Software Run Over The Internet For Editing Text Documents, Spreadsheets Or Presentations",Proportion of Youth and Adults with ICT Skills,"Using Software Run Over The Internet For Editing Text Documents, Spreadsheets Or Presentations",18.6,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
34,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Programming Or Coding In Digital Environments (E.g. Computer Software, App Development)",Proportion of Youth and Adults with ICT Skills,"Programming Or Coding In Digital Environments (E.g. Computer Software, App Development)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
35,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Changing Privacy Settings On Your Device, Account Or App To Limit The Sharing Of PersoN/Al Data And Information (E.g. N/Ame, Contact Information, Photos)",Proportion of Youth and Adults with ICT Skills,"Changing Privacy Settings On Your Device, Account Or App To Limit The Sharing Of PersoN/Al Data And Information (E.g. N/Ame, Contact Information, Photos)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
36,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Setting Up Effective Security Measures (E.g. Strong Passwords, Log-In Attempt Notification) To Protect Devices And Online Accounts",Proportion of Youth and Adults with ICT Skills,"Setting Up Effective Security Measures (E.g. Strong Passwords, Log-In Attempt Notification) To Protect Devices And Online Accounts",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
37,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Participating In Social Networks,Proportion of Youth and Adults with ICT Skills,Participating In Social Networks,65.7,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
38,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Finding, Downloading, Installing And Configuring Software And Apps",Proportion of Youth and Adults with ICT Skills,"Finding, Downloading, Installing And Configuring Software And Apps",44.5,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
39,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Transferring Files Or Applications Between Devices (Including Via Cloud-Storage),Proportion of Youth and Adults with ICT Skills,Transferring Files Or Applications Between Devices (Including Via Cloud-Storage),47.2,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
40,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Uploading Self/User-Created Content To A Website To Be Shared,Proportion of Youth and Adults with ICT Skills,Uploading Self/User-Created Content To A Website To Be Shared,20.4,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
41,Singapore,2017,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Making Calls (Telephoning Over The Internet/Voip, Using Skype, Whatsapp, Viber, Italk, Etc.; Includes Video Calls Via Webcam)",Proportion of Youth and Adults with ICT Skills,"Making Calls (Telephoning Over The Internet/Voip, Using Skype, Whatsapp, Viber, Italk, Etc.; Includes Video Calls Via Webcam)",53.3,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
42,Singapore,2017,NUM-00011,Proportion of Youth and Adults with ICT Skills_Verifying The Reliability Of Information Found Online,Proportion of Youth and Adults with ICT Skills,Verifying The Reliability Of Information Found Online,,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
43,Singapore,2018,NUM-00011,Proportion of Youth and Adults with ICT Skills_Using Basic Arithmetic Formula In A Spreadsheet,Proportion of Youth and Adults with ICT Skills,Using Basic Arithmetic Formula In A Spreadsheet,44,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
44,Singapore,2018,NUM-00011,"Proportion of Youth and Adults with ICT Skills_Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",Proportion of Youth and Adults with ICT Skills,"Using Copy And Paste Tools To Duplicate Or Move Data, Information And Content In Digital Environments (E.g. Within A Document, Between Devices, On The Cloud)",,No,,Singapore Info-Communications Media Development Authority,https://tablebuilder.singstat.gov.sg/table/TS/M850851
