country,year,indicator_id,indicator_name,indicator_value,subnational,remarks,source,source_url
Brunei Darussalam,1999,NUM-00006,Percentage Women Graduates in STEM Fields,52.308,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2000,NUM-00006,Percentage Women Graduates in STEM Fields,48.837,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2001,NUM-00006,Percentage Women Graduates in STEM Fields,42.748,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2003,NUM-00006,Percentage Women Graduates in STEM Fields,48.438,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2004,NUM-00006,Percentage Women Graduates in STEM Fields,42.405,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2005,NUM-00006,Percentage Women Graduates in STEM Fields,44.199,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2006,NUM-00006,Percentage Women Graduates in STEM Fields,62.338,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2007,NUM-00006,Percentage Women Graduates in STEM Fields,39.13,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2008,NUM-00006,Percentage Women Graduates in STEM Fields,49.138,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2009,NUM-00006,Percentage Women Graduates in STEM Fields,50.394,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2010,NUM-00006,Percentage Women Graduates in STEM Fields,41.689,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2011,NUM-00006,Percentage Women Graduates in STEM Fields,50.532,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2012,NUM-00006,Percentage Women Graduates in STEM Fields,49.435,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2015,NUM-00006,Percentage Women Graduates in STEM Fields,49.171,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2016,NUM-00006,Percentage Women Graduates in STEM Fields,51.855,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Brunei Darussalam,2018,NUM-00006,Percentage Women Graduates in STEM Fields,54.34,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2000,NUM-00006,Percentage Women Graduates in STEM Fields,25,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2001,NUM-00006,Percentage Women Graduates in STEM Fields,21.683,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2002,NUM-00006,Percentage Women Graduates in STEM Fields,18.122,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2004,NUM-00006,Percentage Women Graduates in STEM Fields,12.055,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2007,NUM-00006,Percentage Women Graduates in STEM Fields,11.533,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2008,NUM-00006,Percentage Women Graduates in STEM Fields,9.828,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Cambodia,2015,NUM-00006,Percentage Women Graduates in STEM Fields,16.68,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Indonesia,2020,NUM-00006,Percentage Women Graduates in STEM Fields,32,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2018,NUM-00006,Percentage Women Graduates in STEM Fields,28.95,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2017,NUM-00006,Percentage Women Graduates in STEM Fields,25.153,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2016,NUM-00006,Percentage Women Graduates in STEM Fields,22.427,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2015,NUM-00006,Percentage Women Graduates in STEM Fields,23.209,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2012,NUM-00006,Percentage Women Graduates in STEM Fields,17.619,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2011,NUM-00006,Percentage Women Graduates in STEM Fields,18.528,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2009,NUM-00006,Percentage Women Graduates in STEM Fields,16.571,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2005,NUM-00006,Percentage Women Graduates in STEM Fields,13.219,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2004,NUM-00006,Percentage Women Graduates in STEM Fields,21.317,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,2001,NUM-00006,Percentage Women Graduates in STEM Fields,15.603,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Laos,1999,NUM-00006,Percentage Women Graduates in STEM Fields,20.051,,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Malaysia,2004,NUM-00006,Percentage Women Graduates in STEM Fields,42.76,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
Malaysia,2006,NUM-00006,Percentage Women Graduates in STEM Fields,45.84,No,,UNESCO Institute for Statistics,https://genderdata.worldbank.org/en/indicator/se-ter-grad-fe-zs?fieldOfStudy=Science%2C+Technology%2C+Engineering+and+Mathematics+%28STEM%29&view=trend&geos=BRN_MYS_SGP
